symbol_x,symbol_y
TSC1,HSP90AB1
LRRK2,HSP90AB1
CCT2,HSP90AB1
HSP90B1,HSP90AB1
PLK1,HSP90AB1
HSPA4,HSP90AB1
PPID,HSP90AB1
CALML6,HSP90AB1
TERT,HSP90AB1
RSF1,HSP90AB1
CALML3,HSP90AB1
TCP1,HSP90AB1
RUVBL1,HSP90AB1
CHORDC1,HSP90AB1
CALR,HSP90AB1
CD151,HSP90AB1
HSPA5,HSP90AB1
GSK3B,HSP90AB1
PGR,HSP90AB1
PSMG2,HSP90AB1
CCT6B,HSP90AB1
PSMG1,HSP90AB1
HSP90AA1,HSP90AB1
LIMK1,HSP90AB1
NLRP3,HSP90AB1
EZR,HSP90AB1
CAV1,HSP90AB1
MAPT,HSP90AB1
CAV3,HSP90AB1
NR3C2,HSP90AB1
STIP1,HSP90AB1
VCP,HSP90AB1
TGFBR2,HSP90AB1
STAT1,HSP90AB1
MTOR,HSP90AB1
SMYD2,HSP90AB1
BAG3,HSP90AB1
DKC1,HSP90AB1
FLNA,HSP90AB1
CHUK,HSP90AB1
ABL1,HSP90AB1
TOMM34,HSP90AB1
DNAJC9,HSP90AB1
NOX1,HSP90AB1
AGO1,HSP90AB1
SRC,HSP90AB1
TLR4,HSP90AB1
AR,HSP90AB1
PINK1,HSP90AB1
FKBPL,HSP90AB1
HSPA1B,HSP90AB1
HSPA1A,HSP90AB1
HSPA1L,HSP90AB1
HDAC6,HSP90AB1
SUGT1,HSP90AB1
CALML5,HSP90AB1
AIPL1,HSP90AB1
CDC37L1,HSP90AB1
NLRP12,HSP90AB1
KEAP1,HSP90AB1
CCT4,HSP90AB1
RAF1,HSP90AB1
ESR1,HSP90AB1
LAMP2,HSP90AB1
DNAJB11,HSP90AB1
BRAF,HSP90AB1
CALML4,HSP90AB1
SMYD3,HSP90AB1
IKBKB,HSP90AB1
HSF1,HSP90AB1
USP50,HSP90AB1
HSPA8,HSP90AB1
HIF1A,HSP90AB1
FKBP5,HSP90AB1
APAF1,HSP90AB1
AKT1,HSP90AB1
FKBP8,HSP90AB1
IRF3,HSP90AB1
RUVBL2,HSP90AB1
H4C7,HSP90AB1
PTGES3,HSP90AB1
IKBKG,HSP90AB1
FKBP4,HSPA8
CFTR,HSPA8
ST13,HSPA8
SLC32A1,HSPA8
STUB1,HSPA8
SGTA,HSPA8
PLIN3,HSPA8
CDC37,HSPA8
RAB3A,HSPA8
CCND1,HSPA8
PRPF19,HSPA8
HSPB1,HSPA8
GFAP,HSPA8
DNAJB1,HSPA8
SNAP25,HSPA8
HSPBP1,HSPA8
CHL1,HSPA8
TLR2,HSPA8
WBP11,HSPA8
SYT1,HSPA8
DNAJB6,HSPA8
DNAJA3,HSPA8
TP53,HSPA8
PLIN2,HSPA8
CCT5,HSPA8
HSPB8,HSPA8
UCHL1,HSPA8
BAG4,HSPA8
REL,HSPA8
HSPA4L,HSPA8
HSPA9,HSPA8
PDIA3,HSPA8
LALBA,HSPA8
HSPB2,HSPA8
HSPA4,HSPA8
HSPB3,HSPA8
HSPA6,HSPA8
CCAR2,HSPA8
PABPC1,HSPA8
HNRNPD,HSPA8
DNAJA2,HSPA8
GAK,HSPA8
HSPA5,HSPA8
HSP90AA1,HSPA8
DNAJB2,HSPA8
BAG5,HSPA8
TUBB,HSPA8
EEF1A1,HSPA8
MAPT,HSPA8
DNAJB12,HSPA8
HTT,HSPA8
STIP1,HSPA8
VCP,HSPA8
DNAJC5,HSPA8
CTNNBL1,HSPA8
BAG3,HSPA8
BCAS2,HSPA8
BAG2,HSPA8
DNAJC6,HSPA8
CDC5L,HSPA8
HSP90AB1,HSPA8
DNAJC9,HSPA8
UBE2D1,HSPA8
HSPA1B,HSPA8
HSPA1A,HSPA8
HSPA1L,HSPA8
FUNDC1,HSPA8
DNAJA1,HSPA8
TUBB2A,HSPA8
TFRC,HSPA8
HSPA2,HSPA8
GAPDH,HSPA8
DNAJB14,HSPA8
LAMP2,HSPA8
DNAJB11,HSPA8
EIF4G1,HSPA8
VAMP2,HSPA8
PLRG1,HSPA8
HSF1,HSPA8
HIF1A,HSPA8
TUBA1A,HSPA8
CLTCL1,HSPA8
FKBP5,HSPA8
CWC15,HSPA8
HSPH1,HSPA8
BAG1,HSPA8
ACTB,HSPA8
UBE3A,HSPA8
PQBP1,HSPA8
SNCA,HSPA8
FKBP4,HSP90AA1
CFTR,HSP90AA1
RPAP3,HSP90AA1
PPP5C,HSP90AA1
MAPK1,HSP90AA1
ST13,HSP90AA1
AHSA1,HSP90AA1
MMP2,HSP90AA1
STUB1,HSP90AA1
AGO2,HSP90AA1
SGTA,HSP90AA1
CDC37,HSP90AA1
CAV2,HSP90AA1
PPIF,HSP90AA1
NR3C1,HSP90AA1
AHR,HSP90AA1
LRP1,HSP90AA1
TSG101,HSP90AA1
FKBP6,HSP90AA1
DNAJB1,HSP90AA1
NASP,HSP90AA1
CDK4,HSP90AA1
MDM2,HSP90AA1
RIPK1,HSP90AA1
TLR2,HSP90AA1
KCNH2,HSP90AA1
PIH1D1,HSP90AA1
SLC9A3R1,HSP90AA1
TEP1,HSP90AA1
EPAS1,HSP90AA1
KDR,HSP90AA1
PIK3CA,HSP90AA1
HDAC4,HSP90AA1
STAT3,HSP90AA1
BCL2A1,HSP90AA1
NCOR1,HSP90AA1
UNC45B,HSP90AA1
TP53,HSP90AA1
ERBB2,HSP90AA1
EGFR,HSP90AA1
AIP,HSP90AA1
TOMM70,HSP90AA1
UCHL1,HSP90AA1
NMNAT2,HSP90AA1
CALM3,HSP90AA1
HSPA9,HSP90AA1
NOS3,HSP90AA1
LRRK2,HSP90AA1
HSP90B1,HSP90AA1
HSPA4,HSP90AA1
PPID,HSP90AA1
CALML6,HSP90AA1
EIF2AK3,HSP90AA1
TERT,HSP90AA1
RSF1,HSP90AA1
CALML3,HSP90AA1
RUVBL1,HSP90AA1
CHORDC1,HSP90AA1
CALR,HSP90AA1
CD151,HSP90AA1
HSPA5,HSP90AA1
GSK3B,HSP90AA1
PGR,HSP90AA1
TBK1,HSP90AA1
PRKCD,HSP90AA1
LIMK1,HSP90AA1
NLRP3,HSP90AA1
EZR,HSP90AA1
CAV1,HSP90AA1
MAPT,HSP90AA1
CAV3,HSP90AA1
